Wow!	Vau!
Hello!	Здраво.
I see.	Vidim.
I try.	Pokušavam.
I try.	Trudim se.
Oh no!	О, не!
Smile.	Smej se.
Smile.	Nasmej se.
He ran.	Он је трчао.
He ran.	On je trčao.
Hop in.	Упадај.
I know.	Znam.
I know.	Знам.
I quit.	Одустајем.
I quit.	Дајем оставку.
I'm OK.	Океј сам.
I'm OK.	Добро сам.
Listen.	Slušaj.
Listen.	Slušajte.
No way!	Ma, nema šanse!
Really?	Stvarno?
Really?	Стварно?
Try it.	Probaj.
Try it.	Pokušaj.
We try.	Pokušavamo.
We try.	Trudimo se.
Why me?	Zašto ja?
Why me?	Zašto mene?
Why me?	Зашто ја?
Why me?	Зашто мене?
Why me?	Zašto baš ja?
Why me?	Зашто баш ја?
Beat it.	Gubi se.
Beat it.	Teraj se.
Beat it.	Odmagli.
Call me.	Позови ме.
Come in.	Uđi.
Come in.	Uđite.
Get out!	Gubi se!
Get out!	Marš napolje!
Get out.	Izlazi.
Get out.	Gubi se.
Go away!	Одлази!
Go away.	Одлази!
He came.	Дошао је.
He runs.	Он трчи.
Help me.	Pomozi mi.
Help me.	Pomozite mi.
Hi, Tom.	Hej Tome.
Hold it!	Stoj tu!
Hold on.	Чекај.
Hold on.	Стани.
It's OK.	У реду је.
Me, too.	И ја исто.
Me, too.	И ја такође.
Open up.	Otvori.
Open up.	Otvorite.
Shut up!	Zaveži!
Shut up!	Prekini!
Shut up!	Ućuti!
Wake up!	Budi se!
Wake up!	Probudi se!
Wash up.	Опери се.
We know.	Знамо.
You run.	Ти трчиш.
You run.	Ви трчите.
Back off.	Одабиј.
Cheer up!	Razveseli se!
Cheer up!	Razveselite se!
Cool off!	Ohladi!
Find Tom.	Nađi Toma.
Find Tom.	Pronađi Toma.
Find Tom.	Nađite Toma.
Find Tom.	Pronađite Toma.
Get down!	Dole!
Get lost!	Губи се!
Get lost!	Губите се!
Get lost.	Губи се.
Get real!	Uozbilji se!
Go ahead!	Samo napred!
Go ahead.	Samo napred.
Grab him.	Uhvati ga.
Grab him.	Uhvatite ga.
Have fun.	Забави се.
He tries.	Trudi se.
He tries.	On se trudi.
He tries.	Pokušava.
He tries.	On pokušava.
How cute!	Kako slatko!
How deep?	Koliko duboko?
Hurry up.	Požuri.
I got it.	Схватио сам.
I got it.	Схватила сам.
I got it.	Разумео сам.
I got it.	Разумела сам.
I resign.	Одустајем.
I resign.	Дајем оставку.
I stayed.	Ostao sam.
I stayed.	Ostala sam.
I use it.	Ја користим то.
I waited.	Čekao sam.
I waited.	Čekala sam.
I'll try.	Probaću.
I'll try.	Pokušaću.
I'm bald.	Ja sam ćelava.
I'm cold.	Hladno mi je.
I'm cold.	Хладно ми је.
I'm glad.	Drago mi je.
I'm here.	Ovde sam.
I'm home.	Kući sam.
I'm hurt.	Povređen sam.
I'm hurt.	Povređena sam.
I'm late.	Kasnim.
I'm well.	Dobro sam.
It helps.	Pomaže.
It works.	Ради.
It works.	Функционише.
It's Tom.	To je Tom.
It's Tom.	Tom je.
It's fun.	Zabavno je.
It's new.	То је ново.
It's new.	Ново је.
Keep out.	Не улази.
Look out!	Pazi!
Look out!	Čuvaj se!
May I go?	Mogu li da idem?
Sit down!	Седи!
Sit down!	Седите!
Sit down.	Седи.
Sit down.	Седите.
Speak up!	Glasnije!
Stand up!	Устани!
Stand up!	Устаните!
Terrific!	Strašno!
Terrific!	Strahovito!
Terrific!	Divno!
Terrific!	Izvanredno!
They won.	Победили су.
Too late.	Prekasno.
Too late.	Previše kasno.
Trust me.	Веруј ми.
Trust me.	Верујте ми.
Try hard.	Potrudi se.
What for?	Zašto?
What for?	Čemu?
What for?	Radi čega?
After you.	После тебе.
After you.	После Вас.
After you.	После вас.
Answer me.	Odgovori mi.
Answer me.	Odgovorite mi.
Birds fly.	Птице лете.
Bless you.	Nazdravlje!
Bless you.	Na zdarvlje!
Calm down.	Смири се.
Catch him.	Ухвати га.
Catch him.	Ухватите га.
Come back.	Вратите се.
Come here.	Dođi ovamo.
Come here.	Dođi ovde.
Come here.	Dođite ovde.
Come here.	Dođite ovamo.
Come home.	Дођи кући.
Dogs bark.	Пси лају.
Don't lie.	Ne laži.
Don't lie.	Nemoj da lažeš.
Don't lie.	Ne lažite.
Don't lie.	Nemojte da lažete.
Don't run.	Ne trči.
Don't run.	Nemoj da trčiš.
Don't run.	Ne trčite.
Don't run.	Nemojte da trčite.
Excuse me.	Извините.
Excuse me.	Опростите.
Excuse me.	Извињавам се.
Follow me.	Prati me.
Follow me.	Pratite me.
Forget it!	Заборави!
Forget it!	Заборавите!
Good luck.	Srećno.
Have some.	Uzmi malo.
Have some.	Uzmite malo.
How awful!	Kako užasno!
I can run.	Ја могу да трчим.
I can ski.	Ја могу да скијам.
I can ski.	Ја умем да скијам.
I fainted.	Onesvestio sam se.
I fainted.	Onesvestila sam se.
I give up.	Одустајем.
I laughed.	Smejao sam se.
I laughed.	Smejala sam se.
I laughed.	Ja sam se smejao.
I laughed.	Ja sam se smejala.
I promise.	Obećavam.
I tripped.	Sapleo sam se.
I tripped.	Saplela sam se.
I'd agree.	Slažem se.
I'd agree.	Složio bih se.
I'd agree.	Složila bih se.
I'd leave.	Otišao bih.
I'd leave.	Otišla bih.
I'd leave.	Ja bih otišao.
I'd leave.	Ja bih otišla.
I'll call.	Zvaću.
I'll call.	Pozvaću.
I'll cook.	Kuvaću.
I'll live.	Živeću.
I'll obey.	Slušaću.
I'll pass.	Proći ću.
I'll pass.	Neću učestvovati.
I'll quit.	Odustaću.
I'll quit.	Daću otkaz.
I'll sing.	Pevaću.
I'll stay.	Ostaću.
I'll wait.	Čekaću.
I'll wait.	Sačekaću.
I'll walk.	Hodaću.
I'm alone.	Sâm sam.
I'm alone.	Sama sam.
I'm alone.	Sam sam.
I'm armed.	Naoružan sam.
I'm armed.	Naoružana sam.
I'm blind.	Slep sam.
I'm blind.	Slepa sam.
I'm dizzy.	Vrti mi se.
I'm early.	Poranio sam.
I'm early.	Poranila sam.
I'm loyal.	Odan sam.
I'm loyal.	Odana sam.
I'm lucky.	Srećan sam.
I'm lucky.	Srećna sam.
I'm lying.	Lažem.
I'm naked.	Go sam.
I'm naked.	Gola sam.
I'm naked.	Nag sam.
I'm naked.	Naga sam.
I'm ready!	Spreman sam!
I'm ready!	Spremna sam!
I'm smart.	Pametan sam.
I'm smart.	Pametna sam.
I'm sorry.	Извињавам се.
