Who?	ใคร?
Wow!	ว้าว!
Help!	ช่วยด้วย!
Jump!	กระโดด!
Jump.	กระโดด
Stop!	หยุด!
Wait.	รอก่อน
Go on.	ต่อไป
Hello!	สวัสดี!
Hurry!	เร็ว ๆ!
I see.	ฉันเข้าใจแล้ว
I try.	ฉันลองแล้ว
I won!	ฉันชนะ!
Oh no!	ไม่นะ!
Relax.	พักผ่อน
Smile.	ยิ้ม!
Attack!	โจมตี!
Cheers!	เชียร์!
Freeze!	ฟรีส!
Freeze!	แข็ง!
Get up.	ตื่น
Go now.	ไปเลยตอนนี้
Got it!	เข้าใจแล้ว!
Got it!	จับได้แล้ว!
Got it!	ทำได้แล้ว!
Got it?	เข้าใจมั้ย?
He ran.	เขาวิ่ง
Hop in.	กระโดดไป
Hug me.	กอดฉัน
I fell.	ฉันล้ม
I left.	ฉันออก
I lied.	ฉันโกหก
I lost.	ฉันแพ้
I quit.	ฉันออก
I work.	ฉันทำงาน
I'm 19.	ฉันอายุ 19 ปี
I'm OK.	ฉันโอเค
I'm OK.	ฉันไม่เป็นไร
I'm up.	ฉันตื่น
Listen.	ฟัง
Listen.	ฟังนะ
No way!	ไม่มีทาง!
Really?	จริงเหรอ!
Try it.	ลองมัน
We try.	พวกเราลองแล้ว
We won.	เราชนะ
Why me?	ทำไมต้องเป็นฉัน?
Ask Tom.	ถามทอม
Awesome!	สุดยอด!
Beat it.	ทำลายมัน
Call me.	โทรหาฉัน
Come in.	เข้ามาข้างใน
Get out!	ออกไป!
Get out.	ออกไป
Go away!	ไปไกล ๆ!
Go away.	ไปซะ
Go away.	ไปไกล ๆ
Goodbye!	ลาก่อน!
He runs.	เขาวิ่ง
Help me!	ช่วยฉันด้วย!
Help me.	ช่วยฉัน
Hi, Tom.	สวัสดีทอม
Hold it!	จับมันไว้!
I agree.	ฉันเห็นด้วย
I'm Tom.	ฉันคือทอม
I'm hot.	ฉันร้อน
I'm ill.	ฉันป่วย
It's OK.	มันพอได้
It's OK.	มันโอเค
It's me.	ฉันเอง
Me, too.	ฉันด้วยเหมือนกัน
Open up.	เปิดออก
Perfect!	เยี่ยมยอด!
Perfect!	พอดีเป๊ะ!
Show me.	แสดงให้ฉัน
Shut up!	เงียบ!
Tom ran.	ทอมวิ่ง
Wake up!	ตื่น!
Wash up.	ล้าง
Welcome.	ยินดีต้อนรับ
You run.	คุณวิ่ง
Be a man.	เป็นลูกผู้ชายหน่อย
Find Tom.	หาทอม
Grab Tom.	จับทอม
Grab him.	จับเขา
Have fun.	ขอให้สนุก
Hurry up.	เร็วเข้า
It's Tom.	มันคือทอม
It's his.	มันเป็นของเขา
Kiss Tom.	จูบทอม
Save Tom.	ช่วยทอม
Speak up!	พูดมา!
Stand up!	ยืนขึ้น!
Stop Tom.	หยุดทอม
Take Tom.	เอาทอมไป
Tell Tom.	บอกทอม
Tom came.	ทอมมา
Tom died.	ทอมตาย
Tom fell.	ทอมล้ม
Tom knew.	ทอมรู้
Tom left.	ทอมออกไปแล้ว
Tom lied.	ทอมโกหก
